"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"1500011K16Rik",3,0,19,3,2,5,27,0,15,8,6,5,16,10,2,31
"1500012K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015A07Rik",0,0,6,0,0,2,6,1,9,2,3,4,1,3,0,5
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500015O10Rik",0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0
"1500017E21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500026H17Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1600002D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",5,10,53,4,5,12,44,11,79,21,10,11,24,6,3,31
"1600002K03Rik",1,2,15,3,4,1,14,4,26,5,3,4,12,11,3,18
"1600010M07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600012H06Rik",4,3,29,5,6,6,21,7,32,7,6,6,17,23,1,24
"1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",2,1,12,4,3,0,8,3,15,5,2,3,5,7,0,5
"1600014C23Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",2,2,12,3,0,2,5,2,22,9,1,6,10,3,0,8
"1600023N17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik;Nme9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,1
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1700001J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700001J11Rik",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700001K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001L05Rik",0,0,6,3,3,0,5,0,3,4,0,0,2,4,2,16
"1700001L19Rik",1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1
"1700001O22Rik",1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0
"1700001P01Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",7,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
"1700003F12Rik",1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",2,0,1,0,0,0,3,0,3,2,2,0,0,0,0,3
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",1,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0
"1700007J10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K13Rik",10,0,7,0,0,0,2,0,3,1,2,0,0,0,0,22
"1700007L15Rik",2,1,6,0,0,0,2,0,8,0,0,0,4,6,0,8
"1700007P06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",2,2,8,0,1,1,8,5,11,5,3,4,5,0,0,5
"1700008K24Rik;DQ699514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",2,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",1,1,7,0,0,1,1,1,10,3,2,1,0,0,0,1
"1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"1700012C14Rik",1,0,2,0,0,0,2,0,0,1,0,1,2,0,0,1
"1700012D01Rik;Tmem194",1,2,25,4,4,6,26,3,46,13,4,10,16,8,2,18
"1700012D14Rik;AK031468",0,0,3,0,0,0,1,0,6,0,1,0,1,0,0,1
"1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012H19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,12,0,0,1,12,0,3,6,1,2,0,1,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016G22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",8,0,2,0,0,0,2,0,1,1,0,0,0,10,0,6
"1700016L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",1,5,60,1,3,6,37,2,38,14,12,6,39,9,7,49
"1700017D01Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700017G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017L05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019B21Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"1700019C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,23,0,8,0,18,1,4,6,0,6,0,0,0,5
"1700019E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D05Rik",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"1700020D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020I14Rik",4,8,39,3,6,6,26,6,65,16,12,4,31,17,2,38
"1700020L24Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",2,1,32,11,6,10,23,3,45,12,4,5,23,38,7,62
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023F06Rik",1,0,1,0,0,0,5,0,0,0,0,0,0,0,1,2
"1700024B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024F13Rik;2810429I04Rik",1,0,19,0,0,2,4,0,13,4,0,2,1,3,0,6
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024I08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024N05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",2,2,23,7,4,7,16,3,24,9,11,4,30,24,2,73
"1700025J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025N23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026J14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026L06Rik",0,0,0,0,0,0,1,0,1,2,0,1,1,1,0,0
"1700027A15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028I16Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028J19Rik",0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,5
"1700028K03Rik;A830010M20Rik",0,1,5,1,0,0,1,0,4,3,2,3,6,0,0,1
"1700028M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028P14Rik",7,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029I15Rik",0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,1
"1700029J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029J07Rik",0,0,1,0,0,4,3,0,5,0,1,1,2,0,0,0
"1700029M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700029N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029P11Rik",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
"1700030A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030C10Rik",1,6,16,3,0,4,17,4,23,5,3,7,6,2,1,26
"1700030F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030J22Rik",1,2,5,4,0,1,1,4,5,1,0,2,1,2,0,2
"1700030K09Rik",1,0,15,0,1,3,9,3,11,4,1,0,5,1,0,11
"1700030L20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031F10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034H15Rik;AK076925",0,0,1,0,0,1,4,1,2,0,0,1,1,3,0,0
"1700034I23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034J05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034P13Rik",0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1
"1700036G14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1
"1700037H04Rik",7,4,69,7,2,7,59,12,69,24,19,7,25,9,5,109
"1700039E15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700039E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1700041A01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700042O10Rik",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"1700044C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047G03Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1700047L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047M11Rik;AK047804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700048M11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700048O20Rik",4,4,18,0,0,5,10,0,32,8,3,3,4,0,1,0
"1700049E15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049G17Rik;BC061462",0,1,3,0,1,2,3,1,4,1,2,0,4,0,0,0
"1700049L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700052I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700052K11Rik",1,0,2,1,0,0,2,1,10,1,2,1,6,5,0,5
"1700054A03Rik",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700055C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",1,1,1,0,0,2,1,1,4,1,2,0,6,2,0,0
"1700057G04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700057H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700061G19Rik",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
